"name","words","brief","type","quality","category"
"job title goes here",400,"your brief goes here...","article","standard","marketing"
"job title goes here",400,"your brief goes here...","article","standard","marketing"
"job title goes here",400,"your brief goes here...","article","standard","marketing"
"job title goes here",400,"your brief goes here...","article","standard","marketing"
"job title goes here",400,"your brief goes here...","article","standard","marketing"
"job title goes here",400,"your brief goes here...","article","standard","marketing"
"job title goes here",400,"your brief goes here...","article","standard","marketing"
"job title goes here",400,"your brief goes here...","article","standard","marketing"
"job title goes here",1000,"your brief goes here...","press release","professional","fashion"
"job title goes here",1000,"your brief goes here...","press release","professional","fashion"
"job title goes here",1000,"your brief goes here...","press release","professional","fashion"
"job title goes here",1000,"your brief goes here...","blog","professional","travel"
"job title goes here",1000,"your brief goes here...","blog","professional","travel"
"job title goes here",1000,"your brief goes here...","blog","professional","travel"
"job title goes here",1000,"your brief goes here...","blog","professional","travel"
"job title goes here",1000,"your brief goes here...","web page","professional","health"
"job title goes here",1000,"your brief goes here...","web page","professional","health"
"job title goes here",1000,"your brief goes here...","web page","professional","health"
"job title goes here",1000,"your brief goes here...","web page","professional","health"
"job title goes here",1000,"your brief goes here...","web page","professional","health"
